,wavelengths,radiance
0,330.0,4.366
1,330.8760951188986,4.366
2,331.75219023779727,4.5104
3,332.62828535669587,4.5104
4,333.5043804755945,4.5104
5,334.38047559449313,4.6036
6,335.25657071339174,4.6036
7,336.13266583229034,4.6036
8,337.008760951189,4.8624
9,337.8848560700876,4.8624
10,338.7609511889862,5.1089
11,339.6370463078849,5.1089
12,340.5131414267835,5.1089
13,341.3892365456821,5.1099
14,342.26533166458074,5.1099
15,343.14142678347935,5.1099
16,344.01752190237795,5.1067
17,344.8936170212766,5.1067
18,345.7697121401752,5.1067
19,346.6458072590738,5.334899999999999
20,347.5219023779725,5.334899999999999
21,348.3979974968711,5.334899999999999
22,349.2740926157697,5.568
23,350.15018773466835,5.568
24,351.02628285356695,5.568
25,351.90237797246556,5.8225
26,352.7784730913642,5.8225
27,353.6545682102628,5.8225
28,354.5306633291614,6.0779000000000005
29,355.4067584480601,6.0779000000000005
30,356.2828535669587,5.8753
31,357.1589486858573,5.8753
32,358.03504380475596,5.8753
33,358.91113892365456,5.6624
34,359.78723404255317,5.6624
35,360.6633291614518,5.6624
36,361.53942428035043,6.3426
37,362.41551939924904,6.3426
38,363.2916145181477,6.3426
39,364.1677096370463,7.0376
40,365.04380475594496,7.0376
41,365.91989987484357,7.0376
42,366.79599499374217,7.2742
43,367.67209011264083,7.2742
44,368.54818523153943,7.2742
45,369.42428035043804,7.5145
46,370.3003754693367,7.5145
47,371.1764705882353,7.5145
48,372.0525657071339,7.0767
49,372.92866082603257,7.0767
50,373.8047559449312,6.6289
51,374.6808510638298,6.6289
52,375.55694618272844,6.6289
53,376.43304130162704,7.0884
54,377.30913642052565,7.0884
55,378.1852315394243,7.0884
56,379.0613266583229,7.5563
57,379.9374217772215,7.5563
58,380.8135168961202,7.5563
59,381.6896120150188,6.864400000000001
60,382.5657071339174,6.864400000000001
61,383.44180225281605,6.864400000000001
62,384.31789737171465,6.1576
63,385.19399249061325,6.1576
64,386.0700876095119,6.1576
65,386.9461827284105,6.989700000000001
66,387.8222778473091,6.989700000000001
67,388.6983729662078,6.989700000000001
68,389.5744680851064,7.837300000000001
69,390.450563204005,7.837300000000001
70,391.32665832290365,7.150499999999999
71,392.20275344180226,7.150499999999999
72,393.07884856070086,7.150499999999999
73,393.9549436795995,6.4491
74,394.8310387984981,6.4491
75,395.70713391739673,6.4491
76,396.5832290362954,8.9408
77,397.459324155194,8.9408
78,398.3354192740926,8.9408
79,399.21151439299126,11.4801
80,400.08760951188987,12.64306896396788
81,400.96370463078847,12.287187987779129
82,401.83979974968713,11.695
83,402.71589486858574,11.695
84,403.59198998748434,11.695
85,404.468085106383,11.9122
86,405.3441802252816,11.9122
87,406.2202753441802,11.9122
88,407.09637046307887,12.219899999999999
89,407.9724655819775,12.219899999999999
90,408.8485607008761,12.5313
91,409.72465581977474,12.5313
92,410.60075093867334,12.5313
93,411.47684605757195,12.7542100113192
94,412.3529411764706,12.9149
95,413.2290362953692,12.9149
96,414.1051314142678,13.2947
97,414.9812265331665,13.2947
98,415.8573216520651,13.2947
99,416.7334167709637,13.139199999999999
100,417.60951188986235,13.139199999999999
101,418.48560700876095,13.139199999999999
102,419.36170212765956,12.980500000000001
103,420.2377972465582,12.980500000000001
104,421.1138923654568,12.980500000000001
105,421.9899874843554,12.9829
106,422.8660826032541,12.9829
107,423.7421777221527,12.9829
108,424.6182728410513,12.984399999999999
109,425.49436795994995,12.984399999999999
110,426.37046307884856,12.333499999999999
111,427.24655819774716,12.333499999999999
112,428.1226533166458,12.333499999999999
113,428.9987484355444,11.671800000000001
114,429.87484355444303,11.671800000000001
115,430.7509386733417,11.671800000000001
116,431.6270337922403,12.76
117,432.5031289111389,12.76
118,433.37922403003756,12.76
119,434.25531914893617,13.8619
120,435.13141426783477,13.8619
121,436.00750938673343,13.8619
122,436.88360450563204,14.074100000000001
123,437.75969962453064,14.074100000000001
124,438.6357947434293,14.074100000000001
125,439.5118898623279,14.288300000000001
126,440.3879849812265,14.288300000000001
127,441.26408010012517,14.941300000000002
128,442.1401752190238,14.941300000000002
129,443.0162703379224,15.211515839683894
130,443.89236545682104,15.5909
131,444.76846057571964,15.5909
132,445.64455569461825,15.5909
133,446.5206508135169,16.2001
134,447.3967459324155,16.2001
135,448.2728410513141,16.2001
136,449.1489361702128,16.8172
137,450.0250312891114,16.8172
138,450.90112640801,16.8172
139,451.77722152690865,16.7633
140,452.65331664580725,16.7633
141,453.52941176470586,16.7633
142,454.4055068836045,16.7053
143,455.2816020025031,16.7053
144,456.1576971214017,16.7053
145,457.0337922403004,16.866999999999997
146,457.909887359199,16.866999999999997
147,458.7859824780976,17.0297
148,459.66207759699626,17.0297
149,460.53817271589486,17.0297
150,461.41426783479346,16.996199999999998
151,462.2903629536921,16.996199999999998
152,463.16645807259073,16.996199999999998
153,464.04255319148933,16.9862
154,464.918648310388,16.9862
155,465.7947434292866,16.9862
156,466.6708385481852,16.9844
157,467.54693366708386,16.9844
158,468.42302878598247,16.9844
159,469.29912390488107,16.9589
160,470.17521902377973,17.004780079431832
161,471.05131414267834,17.098092423604136
162,471.92740926157694,17.1733
163,472.8035043804756,17.1733
164,473.6795994993742,17.1733
165,474.5556946182728,17.3791
166,475.43178973717147,17.3791
167,476.3078848560701,17.6023
168,477.1839799749687,17.6023
169,478.06007509386734,17.6023
170,478.93617021276594,17.8241
171,479.81226533166455,17.8241
172,480.6883604505632,17.8241
173,481.5644555694618,17.1199
174,482.4405506883604,17.1199
175,483.3166458072591,17.1199
176,484.1927409261577,16.413800000000002
