wavelengths,counts,radiance
339.673,0.0037159024598719514,5.1089
340.054,0.0037159024598719514,5.1089
340.435,0.0037159024598719514,5.1089
340.816,0.0037552839715192937,5.109245691428572
341.197,0.0038340469948139697,5.109680575714285
341.578,0.0037458666535166657,5.1099
341.959,0.003796891394694523,5.1099
342.339,0.0037670984250134884,5.1099
342.72,0.0037667559770861204,5.1099
343.101,0.003727545689402466,5.1099
343.482,0.003776173295088748,5.108656032
343.862,0.003758708450792972,5.107268054857142
344.243,0.0037206967308551094,5.1067
344.624,0.003725491001838259,5.1067
345.004,0.003756653763228765,5.1067
345.385,0.0037383327991145653,5.1067
345.765,0.0037112794128524814,5.1067
346.146,0.003770009232396119,5.204713204000007
346.526,0.00369312967270197,5.303693324000007
346.906,0.003716758579690375,5.334899999999999
347.287,0.0036611107914930404,5.334899999999999
347.667,0.0036561452965462107,5.334899999999999
348.047,0.0036498100098898935,5.334899999999999
348.427,0.004438467586618783,5.3426166090000065
348.808,0.006442130409649905,5.443988136000001
349.188,0.006465074420783574,5.545093596000002
349.568,0.006472094603294619,5.568
349.948,0.006450349159906741,5.568
350.328,0.006561815960265082,5.568
350.708,0.0067332111479128445,5.568
351.088,0.006795536670693856,5.585928434285722
351.467,0.006688350469427617,5.696025497857142
351.847,0.006623970259082399,5.806413055
352.227,0.006528256063383002,5.8225
352.607,0.006582876507798225,5.8225
352.986,0.006610957237842412,5.8225
353.366,0.006609758670096629,5.8225
353.746,0.006537844605349309,5.849154273714282
354.125,0.006536988485530886,5.959640678571433
354.505,0.0065926362737282205,6.07041860428572
354.884,0.006605649294968206,6.0779000000000005
355.264,0.00668458354222657,6.0779000000000005
355.643,0.006651366093271858,6.023268331142866
356.022,0.006658386275782902,5.935623281714288
356.402,0.006699480027067084,5.8753
356.781,0.00666318054676606,5.8753
357.16,0.006775503466942817,5.8753
357.54,0.006716602423435492,5.8753
357.919,0.006747251512934942,5.8753
358.298,0.00676420268533967,5.811398977428572
358.677,0.006785092008909125,5.719298133285709
359.056,0.006777386930543337,5.6624
359.435,0.00685306792249171,5.6624
359.814,0.006885771699555367,5.6624
360.193,0.006942275607571117,5.6624
360.572,0.007028230037340526,5.6624
360.95,0.007092781471649425,5.884971157142844
361.329,0.007088158424629947,6.179226648857151
361.708,0.007046551001454718,6.3426
362.087,0.007098431862450998,6.3426
362.465,0.007089356992375739,6.3426
362.844,0.007247225486892459,6.3426
363.222,0.007248937726529306,6.3426
363.601,0.007298763899961372,6.588033292857138
363.979,0.007423586169487067,6.887897992857134
364.358,0.007513992422312258,7.0376
364.736,0.007726995033135265,7.0376
365.115,0.007847879151496219,7.0376
365.493,0.007887945558998296,7.0376
365.871,0.008141870697141788,7.0376
366.249,0.008348709245272158,7.1264774380000055
366.628,0.008571129174097785,7.228830935999998
367.006,0.008587909122538826,7.2742
367.384,0.008720094022502933,7.2742
367.762,0.008867175407307571,7.2742
368.14,0.009035317339645334,7.2742
368.518,0.009187706667324168,7.2742
368.896,0.009312528936849857,7.369600473142861
369.274,0.009424851857026621,7.473280311142859
369.652,0.00971918585059956,7.5145
370.03,0.010091597971612439,7.5145
370.407,0.010433361003125866,7.5145
370.785,0.010603900070955213,7.5145
371.163,0.010651500332859384,7.5145
371.54,0.01076399447699983,7.332838017142848
371.918,0.011215683293198431,7.143944829142851
372.296,0.011586725622501846,7.0767
372.673,0.011447349316062998,7.0767
373.051,0.011472348014760875,7.014168568285734
373.428,0.011770448935534859,6.8214719120000105
373.805,0.01196495935827998,6.6289
374.183,0.011632099972878122,6.6289
374.56,0.01185760193305006,6.6289
374.937,0.012269224341746593,6.6289
375.315,0.012413737367095959,6.6289
375.692,0.012760637117519914,6.699733894285705
376.069,0.013826848739380693,6.897465277857143
376.446,0.014622184050693252,7.0884
376.823,0.014694611787331618,7.0884
377.2,0.015026786276878739,7.0884
377.577,0.015847120286889175,7.0884
377.954,0.016863334511354203,7.0884
378.331,0.018157274004914813,7.16625120728571
378.708,0.019111676378489893,7.367597266857149
379.085,0.019525524698714318,7.5563
379.461,0.01907726036178939,7.5563
379.838,0.018310348228448382,7.5563
380.215,0.018031253167643327,7.5563
380.592,0.018555712168407672,7.5563
380.968,0.019731849574953633,7.434296284571434
381.345,0.021242044934647236,7.136558864999991
381.721,0.021468745462564956,6.864400000000001
382.098,0.020797547524923365,6.864400000000001
382.474,0.019623293581977924,6.864400000000001
382.851,0.018752448502680687,6.864400000000001
383.227,0.01801875381829439,6.864400000000001
383.603,0.017642574770080462,6.734351829142869
383.979,0.017577167215953142,6.431009424571453
384.356,0.01819597062070741,6.1576
384.732,0.019819173796432513,6.1576
385.108,0.022441126352326868,6.1576
385.484,0.02455933800706265,6.1576
385.86,0.025198174615567958,6.1576
386.236,0.024681078245242027,6.315180720571399
386.612,0.024842884890923487,6.672299021142867
386.988,0.025889919428851653,6.989700000000001
387.364,0.02717409915648227,6.989700000000001
387.74,0.027399943564581565,6.989700000000001
388.116,0.02789032899657278,6.989700000000001
388.491,0.02839150153827609,6.989700000000001
388.867,0.028921439705878314,7.1528424154285695
389.243,0.02937073138658535,7.5166129617142685
389.618,0.0309923935466373,7.837300000000001
389.994,0.03446070615502207,7.837300000000001
390.37,0.037108684753396404,7.837300000000001
390.745,0.037772006388708534,7.606481237142853
391.121,0.0393417876877642,7.311722375428598
391.496,0.04071466142858316,7.150499999999999
391.871,0.04345989523833006,7.150499999999999
392.247,0.04426824357088261,7.150499999999999
392.622,0.04264024612417436,7.150499999999999
392.997,0.03911542960777383,7.150499999999999
