wavelengths,cal_factor,sensitivity
514.276,6.725398337809555e-7,5350.2885850814955
514.664,6.710774795235708e-7,5383.008730882606
515.052,6.696201002409892e-7,5416.031183328701
515.44,6.68181096735939e-7,5449.217730102717
515.829,6.670571588425357e-7,5480.267759183618
516.217,6.658394953148486e-7,5512.050946451464
516.605,6.643205100603452e-7,5546.274606416305
516.993,6.626992544665468e-7,5581.753255079245
517.381,6.609968075479936e-7,5616.729152291442
517.769,6.596322077000769e-7,5648.697538036513
518.156,6.580560790463785e-7,5683.647440218894
518.544,6.568226167800145e-7,5717.215091670965
518.932,6.557382332441662e-7,5749.62131366407
519.32,6.545303662035895e-7,5782.9171002366165
519.707,6.537816849352679e-7,5812.296698655666
520.095,6.521113919807125e-7,5849.709500204888
520.483,6.508709911082012e-7,5881.844802448071
520.87,6.495769986747959e-7,5914.587000171844
521.258,6.483949916242713e-7,5946.180897807036
521.645,6.469927945073403e-7,5979.5820782276605
522.032,6.457902587972807e-7,6011.721618352703
522.42,6.446077894640592e-7,6043.505504884278
522.807,6.434608840073484e-7,6075.23775098809
523.194,6.424628553722728e-7,6105.497960370647
523.581,6.415810224491978e-7,6135.403052173794
523.969,6.403235808171275e-7,6168.717132622176
524.356,6.39086121498683e-7,6203.090997475242
524.743,6.38230118444791e-7,6233.895258489643
525.13,6.37425713992622e-7,6265.247350332439
525.517,6.366798032338913e-7,6296.878828435843
525.904,6.360984484084135e-7,6326.984854132793
526.291,6.355755586376331e-7,6355.270119363914
526.677,6.342494695445111e-7,6390.935992914836
527.064,6.334895852694471e-7,6420.79009067958
527.451,6.322417558408603e-7,6453.302740875863
527.838,6.313419219664147e-7,6482.647064810773
528.224,6.301232725447317e-7,6515.5590943939915
528.611,6.290581680990378e-7,6547.306274867481
528.997,6.279631105740203e-7,6579.396795812354
529.384,6.270514140861298e-7,6612.022673196653
529.77,6.261891303230027e-7,6643.562178292425
530.157,6.254594570751819e-7,6674.340957158536
530.543,6.247082114770176e-7,6704.802418342124
530.929,6.241062027990582e-7,6733.922424026123
531.316,6.231414682929173e-7,6765.761089741056
531.702,6.223400510481598e-7,6795.839678920303
532.088,6.217040475669755e-7,6824.859182958582
532.474,6.211168089897624e-7,6855.94263658114
532.86,6.207524950694906e-7,6884.44590752271
533.246,6.198357706497505e-7,6917.2516695086615
533.632,6.189249796209422e-7,6948.997814305161
534.018,6.18444334257911e-7,6975.65807986675
534.404,6.176883482987967e-7,7005.061339572514
534.79,6.169029878857588e-7,7035.034376941483
535.176,6.164273125280848e-7,7063.915215925759
535.562,6.163139291152052e-7,7091.488772785559
535.947,6.158019945312119e-7,7124.008116217892
536.333,6.153311810103915e-7,7153.640935347847
536.719,6.147444843207176e-7,7184.334357774524
537.104,6.143975043817551e-7,7211.999936550739
537.49,6.136249003606963e-7,7243.269867549678
537.875,6.129942639986867e-7,7273.46976312277
538.261,6.125649573282504e-7,7300.843062880858
538.646,6.120319881345218e-7,7329.191447568437
539.031,6.11439893279482e-7,7358.34379056457
539.417,6.106193748763391e-7,7388.926477508561
539.802,6.099253461974634e-7,7418.582066330905
540.187,6.092341148041356e-7,7449.454311245054
540.572,6.086745019185654e-7,7481.068531149616
