wavelengths,radiance
330.0,4.366
330.8760951188986,4.366
331.75219023779727,4.5104
332.62828535669587,4.5104
333.5043804755945,4.5104
334.38047559449313,4.6036
335.25657071339174,4.6036
336.13266583229034,4.6036
337.008760951189,4.8624
337.8848560700876,4.8624
338.7609511889862,5.1089
339.6370463078849,5.1089
340.5131414267835,5.1089
341.3892365456821,5.1099
342.26533166458074,5.1099
343.14142678347935,5.1099
344.01752190237795,5.1067
344.8936170212766,5.1067
345.7697121401752,5.1067
346.6458072590738,5.334899999999999
347.5219023779725,5.334899999999999
348.3979974968711,5.334899999999999
349.2740926157697,5.568
350.15018773466835,5.568
351.02628285356695,5.568
351.90237797246556,5.8225
352.7784730913642,5.8225
353.6545682102628,5.8225
354.5306633291614,6.0779000000000005
355.4067584480601,6.0779000000000005
356.2828535669587,5.8753
357.1589486858573,5.8753
358.03504380475596,5.8753
358.91113892365456,5.6624
359.78723404255317,5.6624
360.6633291614518,5.6624
361.53942428035043,6.3426
362.41551939924904,6.3426
363.2916145181477,6.3426
364.1677096370463,7.0376
365.04380475594496,7.0376
365.91989987484357,7.0376
366.79599499374217,7.2742
367.67209011264083,7.2742
368.54818523153943,7.2742
369.42428035043804,7.5145
370.3003754693367,7.5145
371.1764705882353,7.5145
372.0525657071339,7.0767
372.92866082603257,7.0767
373.8047559449312,6.6289
374.6808510638298,6.6289
375.55694618272844,6.6289
376.43304130162704,7.0884
377.30913642052565,7.0884
378.1852315394243,7.0884
379.0613266583229,7.5563
379.9374217772215,7.5563
380.8135168961202,7.5563
381.6896120150188,6.864400000000001
382.5657071339174,6.864400000000001
383.44180225281605,6.864400000000001
384.31789737171465,6.1576
385.19399249061325,6.1576
386.0700876095119,6.1576
386.9461827284105,6.989700000000001
387.8222778473091,6.989700000000001
388.6983729662078,6.989700000000001
389.5744680851064,7.837300000000001
390.450563204005,7.837300000000001
391.32665832290365,7.150499999999999
392.20275344180226,7.150499999999999
393.07884856070086,7.150499999999999
393.9549436795995,6.4491
394.8310387984981,6.4491
395.70713391739673,6.4491
396.5832290362954,8.9408
397.459324155194,8.9408
398.3354192740926,8.9408
399.21151439299126,11.4801
400.08760951188987,12.64306896396788
400.96370463078847,12.287187987779129
401.83979974968713,11.695
402.71589486858574,11.695
403.59198998748434,11.695
404.468085106383,11.9122
405.3441802252816,11.9122
406.2202753441802,11.9122
407.09637046307887,12.219899999999999
407.9724655819775,12.219899999999999
408.8485607008761,12.5313
409.72465581977474,12.5313
410.60075093867334,12.5313
411.47684605757195,12.7542100113192
412.3529411764706,12.9149
413.2290362953692,12.9149
414.1051314142678,13.2947
414.9812265331665,13.2947
415.8573216520651,13.2947
416.7334167709637,13.139199999999999
417.60951188986235,13.139199999999999
418.48560700876095,13.139199999999999
419.36170212765956,12.980500000000001
420.2377972465582,12.980500000000001
421.1138923654568,12.980500000000001
421.9899874843554,12.9829
422.8660826032541,12.9829
423.7421777221527,12.9829
424.6182728410513,12.984399999999999
425.49436795994995,12.984399999999999
426.37046307884856,12.333499999999999
427.24655819774716,12.333499999999999
428.1226533166458,12.333499999999999
428.9987484355444,11.671800000000001
429.87484355444303,11.671800000000001
430.7509386733417,11.671800000000001
431.6270337922403,12.76
432.5031289111389,12.76
433.37922403003756,12.76
434.25531914893617,13.8619
435.13141426783477,13.8619
436.00750938673343,13.8619
436.88360450563204,14.074100000000001
437.75969962453064,14.074100000000001
438.6357947434293,14.074100000000001
439.5118898623279,14.288300000000001
440.3879849812265,14.288300000000001
441.26408010012517,14.941300000000002
442.1401752190238,14.941300000000002
443.0162703379224,15.211515839683894
443.89236545682104,15.5909
444.76846057571964,15.5909
445.64455569461825,15.5909
446.5206508135169,16.2001
447.3967459324155,16.2001
448.2728410513141,16.2001
449.1489361702128,16.8172
450.0250312891114,16.8172
450.90112640801,16.8172
451.77722152690865,16.7633
452.65331664580725,16.7633
453.52941176470586,16.7633
454.4055068836045,16.7053
455.2816020025031,16.7053
456.1576971214017,16.7053
457.0337922403004,16.866999999999997
457.909887359199,16.866999999999997
458.7859824780976,17.0297
459.66207759699626,17.0297
460.53817271589486,17.0297
461.41426783479346,16.996199999999998
462.2903629536921,16.996199999999998
463.16645807259073,16.996199999999998
464.04255319148933,16.9862
464.918648310388,16.9862
465.7947434292866,16.9862
466.6708385481852,16.9844
467.54693366708386,16.9844
468.42302878598247,16.9844
469.29912390488107,16.9589
470.17521902377973,17.004780079431832
471.05131414267834,17.098092423604136
471.92740926157694,17.1733
472.8035043804756,17.1733
473.6795994993742,17.1733
474.5556946182728,17.3791
475.43178973717147,17.3791
476.3078848560701,17.6023
477.1839799749687,17.6023
478.06007509386734,17.6023
478.93617021276594,17.8241
479.81226533166455,17.8241
480.6883604505632,17.8241
481.5644555694618,17.1199
482.4405506883604,17.1199
483.3166458072591,17.1199
484.1927409261577,16.413800000000002
485.0688360450563,16.413800000000002
485.94493116395495,16.413800000000002
486.82102628285355,16.7375
487.69712140175216,16.7375
488.5732165206508,16.87219426329861
489.4493116395494,17.0606
490.325406758448,17.0606
491.2015018773467,17.0606
492.0775969962453,17.305500000000002
492.9536921151439,17.305500000000002
493.82978723404256,17.5501
494.70588235294116,17.5501
495.58197747183976,17.5501
496.4580725907384,17.2384
497.33416770963703,17.2384
498.21026282853563,17.2384
499.0863579474343,16.9253
499.9624530663329,16.9253
500.8385481852315,16.9253
501.71464330413016,17.1286
502.59073842302877,17.1286
503.4668335419274,17.1286
504.34292866082603,17.332900000000002
505.21902377972464,17.332900000000002
506.09511889862324,17.332900000000002
